t_ms,x_mm,y_mm,heading_deg,v_mm_s,omega_rad_s,pwmL,pwmR
150,1846.5033699518294,500.0,0.0,929.1318990358824,0.0,2000,2000
151,1847.4334457618472,500.0,0.0,930.0758100178747,0.0,2000,2000
152,1848.3644467921574,500.0,0.0,931.0010303101432,0.0,2000,2000
153,1849.2963547221705,500.0,0.0,931.9079300131413,0.0,2000,2000
154,1850.2291515940692,500.0,0.0,932.7968718988423,0.0,2000,2000
155,1851.162819805625,500.0,0.0,933.6682115558532,0.0,2000,2000
156,1852.0973421031567,500.0,0.0,934.5222975316549,0.0,2000,2000
157,1853.0327015746288,500.0,0.0,935.3594714720256,0.0,2000,2000
158,1853.9688816428866,500.0,0.0,936.180068257704,0.0,2000,2000
159,1854.905866059025,500.0,0.0,936.9844161383456,0.0,2000,2000
160,1855.8436388958887,500.0,0.0,937.7728368638277,0.0,2000,2000
161,1856.7821845417018,500.0,0.0,938.5456458129528,0.0,2000,2000
162,1857.7214876938215,500.0,0.0,939.3031521196048,0.0,2000,2000
163,1858.6615333526179,500.0,0.0,940.0456587964065,0.0,2000,2000
164,1859.6023068154739,500.0,0.0,940.7734628559291,0.0,2000,2000
165,1860.5437936709034,500.0,0.0,941.4868554295003,0.0,2000,2000
166,1861.485979792787,500.0,0.0,942.1861218836618,0.0,2000,2000
167,1862.4288513347212,500.0,0.0,942.8715419343188,0.0,2000,2000
168,1863.3723947244798,500.0,0.0,943.5433897586306,0.0,2000,2000
169,1864.3165966585846,500.0,0.0,944.201934104685,0.0,2000,2000
170,1865.2614440969835,500.0,0.0,944.8474383990014,0.0,2000,2000
171,1866.2069242578355,500.0,0.0,945.480160851904,0.0,2000,2000
172,1867.1530246123962,500.0,0.0,946.1003545608105,0.0,2000,2000
173,1868.0997328800077,500.0,0.0,946.7082676114738,0.0,2000,2000
174,1869.0470370231849,500.0,0.0,947.30414317722,0.0,2000,2000
175,1869.9949252428012,500.0,0.0,947.8882196162202,0.0,2000,2000
176,1870.943385973368,500.0,0.0,948.460730566838,0.0,2000,2000
177,1871.8924078784091,500.0,0.0,949.0219050410872,0.0,2000,2000
178,1872.8419798459254,500.0,0.0,949.5719675162397,0.0,2000,2000
179,1873.79209098395,500.0,0.0,950.1111380246201,0.0,2000,2000
180,1874.7427306161915,500.0,0.0,950.6396322416207,0.0,2000,2000
181,1875.6938882777633,500.0,0.0,951.157661571975,0.0,2000,2000
182,1876.6455537109975,500.0,0.0,951.6654332343223,0.0,2000,2000
183,1877.5977168613417,500.0,0.0,952.1631503440979,0.0,2000,2000
184,1878.5503678733364,500.0,0.0,952.6510119947819,0.0,2000,2000
185,1879.5034970866739,500.0,0.0,953.1292133375397,0.0,2000,2000
186,1880.4570950323332,500.0,0.0,953.5979456592844,0.0,2000,2000
187,1881.4111524287923,500.0,0.0,954.0573964591945,0.0,2000,2000
188,1882.3656601783161,500.0,0.0,954.5077495237161,0.0,2000,2000
189,1883.3206093633162,500.0,0.0,954.9491850000799,0.0,2000,2000
190,1884.2759912427846,500.0,0.0,955.3818794683622,0.0,2000,2000
191,1885.2317972487967,500.0,0.0,955.8060060121196,0.0,2000,2000
192,1886.1880189830845,500.0,0.0,956.2217342876248,0.0,2000,2000
193,1887.1446482136762,500.0,0.0,956.6292305917311,0.0,2000,2000
194,1888.1016768716047,500.0,0.0,957.0286579283936,0.0,2000,2000
195,1889.0590970476785,500.0,0.0,957.4201760738725,0.0,2000,2000
196,1890.016900989319,500.0,0.0,957.8039416406466,0.0,2000,2000
197,1890.9750810974592,500.0,0.0,958.1801081400592,0.0,2000,2000
198,1891.9336299235028,500.0,0.0,958.5488260437261,0.0,2000,2000
199,1892.8925401663466,500.0,0.0,958.9102428437247,0.0,2000,2000
200,1893.8518046694583,500.0,0.0,959.2645031115942,0.0,2000,2000
201,1894.8114164180145,500.0,0.0,959.6117485561651,0.0,2000,2000
202,1895.7713685360948,500.0,0.0,959.9521180802453,0.0,2000,2000
203,1896.731654283931,500.0,0.0,960.2857478361828,0.0,2000,2000
204,1897.6922670552112,500.0,0.0,960.6127712803284,0.0,2000,2000
205,1898.6532003744376,500.0,0.0,960.93331922642,0.0,2000,2000
206,1899.6144478943354,500.0,0.0,961.2475198979104,0.0,2000,2000
207,1900.5760033933147,500.0,0.0,961.5554989792572,0.0,2000,2000
208,1901.537860772981,500.0,0.0,961.8573796661997,0.0,2000,2000
209,1902.500014055696,500.0,0.0,962.1532827150376,0.0,2000,2000
210,1903.462457382187,500.0,0.0,962.4433264909359,0.0,2000,2000
211,1904.4251850092023,500.0,0.0,962.7276270152723,0.0,2000,2000
212,1905.3881913072144,500.0,0.0,963.0062980120473,0.0,2000,2000
213,1906.3514707581678,500.0,0.0,963.2794509533752,0.0,2000,2000
214,1907.315017953272,500.0,0.0,963.5471951040747,0.0,2000,2000
215,1908.2788275908374,500.0,0.0,963.809637565376,0.0,2000,2000
216,1909.2428944741553,500.0,0.0,964.0668833177629,0.0,2000,2000
217,1910.2072135094181,500.0,0.0,964.3190352629663,0.0,2000,2000
218,1911.1717797036833,500.0,0.0,964.5661942651263,0.0,2000,2000
219,1912.1365881628744,500.0,0.0,964.8084591911395,0.0,2000,2000
220,1913.1016340898245,500.0,0.0,965.0459269502063,0.0,2000,2000
221,1914.0669127823571,500.0,0.0,965.2786925325968,0.0,2000,2000
222,1915.0324196314048,500.0,0.0,965.5068490476474,0.0,2000,2000
